active  a.活跃的
activity  n.活动
angry  a.生气的
apple  n.苹果
baby  n.宝贝
basket  n.篮子
bath  n.沐浴
boat  n.船
beautiful  a.漂亮的
bedroom  n.卧室
blue  a.蓝色
brother  n.兄弟
cake  n.蛋糕
candle  n.蜡烛
car  n.小汽车
cat  n.猫
card  n.卡片
chicken  n.鸡腿
chocolate  n.巧克力
dance  n.跳舞
daughter  n.女儿
door  n.门
ear  n.耳朵
egg  n.鸡蛋
elephant  n.大象
face  n.脸
fat  n.胖的
family  n.家庭
father  n.父亲
garden  n.花园
gift  n.礼物
glass  n.玻璃
grass  n.草地
hair  n.头发
hand  n.手
hello  n.你好
hat  n.帽子
hotel  n.旅馆
ice  n.冰淇淋
jump  v.跳跃
key  n.钥匙
king  n.国王
knife  n.小刀
land  n.土地
large  a.大的
laugh  n.笑
leaf  n.树叶
map  n.地图
meal  n.米饭
milk  n.牛奶
mother  n.妈妈
mountain  n.山脉
neck  n.脖子
newspaper  n.报纸
ocean  n.海洋
old  a.年老的
orange  n.橘子
paint  n.画
parent  n.父母
partner  n.伙伴
pencil  n.铅笔
people  n.人们
pool  n.游泳池
rainy  a.下雨的
red  a.红的
restaurant  n.餐馆
sad  a.伤心的
school  n.学校
shoe  n.鞋子
taxi  n.出租车
tea  n.茶
tear  n.眼泪
ugly  a.丑陋的
uncle  n.叔叔
vegetable  n.蔬菜
warm  a.温暖的
weather  n.天气
young  n.年轻人
yell  v.大喊
zoo  n.动物园
